Total,Ambiguous,Word,POS
151,144/7/7,postulo/as/are,PossibleVerb.
150,150/0/0,Roma/ae,f.
149,98/80/51,signum/i,n.
149,144/7/5,gratia/ae,f.
149,137/13/12,adfero/fers/ferre/adttuli att-/adlatum all-,PossibleVerb.
148,148/0/0,cur,adv.
147,147/0/0,ager/agri,m.
147,131/43/16,vox/uocis,f.
146,50/170/96,indo/is/ere/indidi/inditum,PossibleVerb.
146,146/0/0,sicut,adv.
146,136/24/10,severus,adj.
146,122/29/24,sumo/is/ere/sumpsi/sumptum,PossibleVerb.
146,108/55/38,ordo/inis,m.
146,0/291/146,contra,prep. + acc.
146,0/291/146,contra,adv.
145,99/64/46,tres/ium,PossibleVerb.
145,145/0/0,simul/semul,adv.
145,145/0/0,actio/onis,f.
145,128/18/17,cogo/is/ere/egi/actum,PossibleVerb.
144,144/0/0,provincia/ae,f.
143,33/169/110,ars/artis,f.
143,143/0/0,sermo/onis,m.
143,143/0/0,potestas/atis,f.
143,143/0/0,omnino,adv.
142,86/84/56,tertius,adj.
142,142/0/0,Caesar/aris,m.
142,121/25/21,coepio/is/ere/coepi/coeptum,PossibleVerb.
141,136/5/5,accedo/is/ere/cessi/cessum,PossibleVerb.
141,106/46/35,cognosco/is/ere/noui,cognitum
140,2/322/138,ceterus,adj.
140,121/33/19,finis/is,m. f.
138,95/51/43,domus/us ou i,f.
138,67/117/71,manus/us,f.
138,138/0/0,voluptas/atis,f.
138,138/0/0,L,num. abrev.
138,101/42/37,quicumque/quae-/quod- (-cun-),PossibleVerb.
137,137/0/0,quando,conj. sub.
136,70/82/66,orior/iris/iri/ortus sum,PossibleVerb.
136,136/0/0,tamquam,adv.
136,136/0/0,periculum/periclum/i,n.
135,92/61/43,plebs/plebis,f.
135,103/63/32,numerus/i,m.
134,134/0/0,reddo/is/ere/ddidi/dditum,PossibleVerb.
134,121/42/13,nomino/as/are,PossibleVerb.
133,90/61/43,constituo/is/ere/tui/tutum,PossibleVerb.
133,6/323/127,dius,adj.
133,133/0/0,littera/ae,f.
133,133/0/0,bene,adv.
132,132/0/0,unde,adv. interr. ou rel.
132,132/0/0,spiritus/us,m.
132,105/45/27,servo/as/are,PossibleVerb.
130,61/115/69,cado/is/ere/cecidi/casum,PossibleVerb.
130,54/169/76,exerceo/es/ere/cui/citum,PossibleVerb.
129,110/131/19,via/ae,f.
