Total,Ambiguous,Word,POS
23,3/46/20,adverto/(aduorto) is/ere/uerti/uersum,PossibleVerb.
23,23/0/0,statim,adv.
23,23/0/0,quaeso,v.
23,23/0/0,praeter/conj. coord.,prep. + acc.
23,23/0/0,persequor/eris/i/persecutus sum,PossibleVerb.
23,23/0/0,parum,adv.
23,23/0/0,mecum,pron. contr.
23,23/0/0,incipio/is/ere/cepi/ceptum,PossibleVerb.
23,23/0/0,adhibeo/es/ere/ui/itum,PossibleVerb.
23,22/1/1,redeo/is/ire/ii/itum,PossibleVerb.
23,21/2/2,equus/i,m.
23,20/4/3,prior/oris,PossibleVerb.
23,20/4/3,jaceo/es/ere/cui/citurus,PossibleVerb.
23,20/4/3,deduco/is/ere/duxi/ductum,PossibleVerb.
23,19/5/4,specto/as/are,PossibleVerb.
23,18/9/5,tribuo/is/ere/bui/butum,PossibleVerb.
23,18/6/5,confiteor/eris/eri/fessus sum,PossibleVerb.
23,18/6/5,committo/is/ere/misi/missum,PossibleVerb.
23,16/11/7,fundus/i,m.
23,11/29/12,pareo/parreo/es/ere/ui/itum,PossibleVerb.
23,0/83/23,magus,adj.
23,0/82/23,magus/i,m.
23,0/54/23,fortuno/as/are,PossibleVerb.
23,0/46/23,antonius/ii,m.
23,0/46/23,antonius,adj.
23,0/125/23,meo/as/are,PossibleVerb.
22,6/36/16,paulus,adj.
22,3/28/19,propinquus,adj.
22,22/0/0,usque,prep. + acc.
22,22/0/0,reprehendo/is/ere/di/sum,PossibleVerb.
22,22/0/0,nonne,adv. interr.
22,22/0/0,memini/isse/imper. memento,PossibleVerb.
22,22/0/0,exemplum/i,n.
22,22/0/0,condicio/onis,f.
22,22/0/0,collega/ae,m.
22,22/0/0,aufero/fers/ferre/abstuli/ablatum,PossibleVerb.
22,22/0/0,aliter,adv.
22,22/0/0,acies/ei,f.
22,21/5/1,ferrum/i,n.
22,20/3/2,divitiae/ditiae/arum,f. pl.
22,20/2/2,comparo/as/are,PossibleVerb.
22,19/4/3,furor/oris,m.
22,19/13/3,nomino/as/are,PossibleVerb.
22,18/7/4,labor/labos/oris,m.
22,17/14/5,libero/as/are,PossibleVerb.
22,16/7/6,arbitror/aris/ari/atus sum,PossibleVerb.
22,14/12/8,converto/is/ere/uerti/uersum,PossibleVerb.
22,14/11/8,tertius,adj.
22,11/27/11,proficiscor/eris/i/fectus sum,PossibleVerb.
22,0/62/22,solo/as/are,PossibleVerb.
22,0/58/22,certe,adv.
21,9/17/12,justus,adj.
21,7/40/14,vito/as/are,PossibleVerb.
21,7/30/14,communis,e
21,7/27/14,placeo/es/ere/cui/citum : plaire/etre agreable (placitus,adj.
21,7/25/14,mare/is,n.
21,4/24/17,caveo/es/ere/caui/cautum,PossibleVerb.
21,3/34/18,inimicus,adj.
21,21/0/0,vix,adv.
21,21/0/0,Roma/ae,f.
21,21/0/0,pretium/ii,n.
21,21/0/0,lingua/ae,f.
21,21/0/0,impleo/es/ere/eui/etum,PossibleVerb.
21,21/0/0,cumque,adv.
21,21/0/0,adsum/es/esse/adfui,PossibleVerb.
21,20/1/1,queror/eris/i/questus sum,PossibleVerb.
21,20/1/1,exigo/is/ere/egi/actum,PossibleVerb.
21,20/1/1,careo/es/ere/ui/iturus,PossibleVerb.
21,19/11/2,servio/is/ire/ii ou iui/itum,PossibleVerb.
21,18/5/3,adulescens/entis,m.
21,15/8/6,officium/ii,n.
21,13/11/8,discedo/is/ere/cessi/cessum,PossibleVerb.
21,12/21/9,numero/as/are,PossibleVerb.
21,12/16/9,auris/is,f.
21,12/13/9,tres/ium,PossibleVerb.
21,11/16/10,intro/as/are,PossibleVerb.
21,10/19/11,Graecus,adj.
21,1/57/20,servus,adj.
21,0/78/21,solum/i,n.
21,0/46/21,facile,adv.
20,5/29/15,caelum/coelum/i,n.
20,3/24/17,secundus,adj.
20,20/0/0,tabula/ae,f.
20,20/0/0,sex,adj. num.
20,20/0/0,reperio/is/ire/rep(p)eri/repertum,PossibleVerb.
20,20/0/0,postea,adv.
20,20/0/0,intersum/es/esse/fui,PossibleVerb.
20,20/0/0,hercule,interj.
20,20/0/0,ecclesia/ae,f.
20,20/0/0,copia/ae,f.
20,20/0/0,agnosco/is/ere/noui/nitum,PossibleVerb.
20,19/3/1,exsisto/is/ere/stiti,PossibleVerb.
20,19/1/1,detraho/is/ere/traxi/tractum,PossibleVerb.
20,18/2/2,hortor/aris/ari,PossibleVerb.
20,18/2/2,eligo/is/ere/legi/lectum,PossibleVerb.
20,17/5/3,fingo/is/ere/finxi/fictum,PossibleVerb.
20,17/3/3,aestimo/as/are,PossibleVerb.
