Total,Ambiguous,Word,POS
109,109/0/0,imperium/ii,n.
108,80/32/28,evenio/is/ire/ueni/uentum,PossibleVerb.
107,77/36/30,uterque/utraque/utrumque,PossibleVerb.
107,1/224/106,sero/is/ere/seui/satum,PossibleVerb.
107,0/214/107,contra,prep. + acc.
107,0/214/107,contra,adv.
106,14/152/92,propinquus,adj.
106,106/0/0,usque,prep. + acc.
106,106/0/0,L,num. abrev.
105,86/25/19,officium/ii,n.
105,79/34/26,concedo/is/ere/cessi/cessum,PossibleVerb.
105,67/55/38,constituo/is/ere/tui/tutum,PossibleVerb.
105,105/0/0,oculus/i,m.
105,105/0/0,existimo/existumo/as/are,PossibleVerb.
104,93/29/11,vox/uocis,f.
104,82/28/22,recipio/is/ere/cepi/ceptum,PossibleVerb.
104,73/46/31,servo/as/are,PossibleVerb.
104,29/114/75,vitium/ii,n.
104,104/0/0,prius,adv.
104,104/0/0,ideo,adv.
103,67/53/36,species/ei/f,PossibleVerb.
103,103/0/0,significo/as/are,PossibleVerb.
103,103/0/0,Caesar/aris,m.
103,100/4/3,defendo/is/ere/fendi/fensum,PossibleVerb.
102,99/3/3,civis/is,m.
102,60/81/42,nosco/is/ere/noui/notum,PossibleVerb.
102,23/120/79,proprius,adj.
102,102/0/0,numquam,adv.
102,0/329/102,solum/i,n.
101,86/19/15,redeo/is/ire/ii/itum,PossibleVerb.
101,72/39/29,propono/is/ere/posui/positum,PossibleVerb.
101,70/46/31,plebs/plebis,f.
101,55/92/46,vinco/is/ere/uici/uictum,PossibleVerb.
101,101/0/0,auxilium/ii,n.
100,82/112/18,via/ae,f.
100,50/85/50,placeo/es/ere/cui/citum : plaire/etre agreable (placitus,adj.
100,100/0/0,actio/onis,f.
99,99/0/0,tribunus/i,m.
99,99/0/0,tamquam,adv.
99,99/0/0,Q,,PossibleVerb.
99,99/0/0,necesse,adj.
99,99/0/0,cur,adv.
99,51/79/48,fortuna/ae,f.
99,0/241/99,solo/as/are,PossibleVerb.
98,98/0/0,mater/tris,f.
98,98/0/0,heres/edis,m.
