Total,Ambiguous,Word,POS
41,0/100/41,sero/is/ere/seui/satum,PossibleVerb.
40,40/0/0,tamquam,adv.
40,40/0/0,prosum/prodes/prodesse/profui,PossibleVerb.
40,40/0/0,existimo/existumo/as/are,PossibleVerb.
40,40/0/0,diu,adv.
40,40/0/0,cibus/i,m.
40,35/6/5,profero/fers/ferre/tuli/latum,PossibleVerb.
40,28/14/12,posterus,adj.
40,25/31/15,nosco/is/ere/noui/notum,PossibleVerb.
40,24/43/16,mereo/es/ere/rui/ritum (mereri/eor/itus sum),PossibleVerb.
40,12/64/28,fortis,e
40,0/80/40,super,prep. + acc. / abl.
39,39/0/0,quartus,adj.
39,39/0/0,dignitas/atis,f.
39,36/3/3,obtineo/es/ere/tinui/tentum,PossibleVerb.
39,35/7/4,dolor/oris,m.
39,35/4/4,pereo/is/ire/ii/itum,PossibleVerb.
39,33/7/6,occupo/as/are,PossibleVerb.
39,28/15/11,species/ei/f,PossibleVerb.
39,1/277/38,sus/suis,m. f.
39,0/122/39,legatus/i,m.
38,38/0/0,scipio/onis,m.
38,38/0/0,scilicet,adv.
38,38/0/0,quando,conj. sub.
38,38/0/0,fructus/us,m.
38,38/0/0,dubito/as/are,PossibleVerb.
38,38/0/0,condicio/onis,f.
38,37/1/1,victoria/ae,f.
38,35/3/3,discedo/is/ere/cessi/cessum,PossibleVerb.
38,22/24/16,adicio/is/ere/ieci/iectum,PossibleVerb.
38,18/34/20,occido/is/ere/occidi/occisum (ob + caedo),PossibleVerb.
38,18/25/20,orior/iris/iri/ortus sum,PossibleVerb.
38,14/40/24,os/oris,n.
38,14/35/24,ars/artis,f.
38,0/68/38,senex/senis,PossibleVerb.
37,7/73/30,pareo/parreo/es/ere/ui/itum,PossibleVerb.
37,37/0/0,dimitto/is/ere/misi/missum,PossibleVerb.
37,37/0/0,amicitia/ae,f.
37,37/0/0,adsum/es/esse/adfui,PossibleVerb.
37,36/1/1,confero/fers/ferre/tuli/latum,PossibleVerb.
37,30/8/7,excipio/is/ere/cepi/ceptum,PossibleVerb.
37,3/66/34,amicus,adj.
37,29/10/8,emo/is/ere/emi/emptum,PossibleVerb.
37,27/13/10,utilis,e
37,27/12/10,conor/aris/ari,PossibleVerb.
37,26/42/11,dominium/ii,n.
37,23/21/14,dos/dotis,f.
37,16/36/21,puer/eri,m.
37,0/79/37,potis/pote,PossibleVerb.
37,0/101/37,tantum,adv.
36,7/44/29,aequus/aecus,adj.
36,36/0/0,intersum/es/esse/fui,PossibleVerb.
36,36/0/0,Cn,npr.
36,34/3/2,vendo/is/ere/didi/ditum,PossibleVerb.
36,34/2/2,sufficio/is/ere/feci/fectum,PossibleVerb.
36,34/2/2,legitimus,adj.
